time,value
2025-04-15T09:31:59.167825589Z,0.09600000083446503
2025-04-15T09:32:00.170801278Z,0.09105000644922256
2025-04-15T09:32:01.150976742Z,0.1270500123500824
2025-04-15T09:32:06.310727775Z,0.13199999928474426
2025-04-15T09:32:07.440783124Z,0.10005000233650208
2025-04-15T09:32:08.426618128Z,0.1080000028014183
2025-04-15T09:32:09.496108763Z,0.11205000430345535
2025-04-15T09:32:10.465475714Z,0.11700000613927841
2025-04-15T09:32:11.470933773Z,0.11205000430345535
2025-04-15T09:32:12.49578264Z,0.1270500123500824
2025-04-15T09:32:13.495723405Z,0.1080000028014183
2025-04-15T09:32:14.51056023Z,0.11700000613927841
2025-04-15T09:32:15.541203745Z,0.09795000404119492
2025-04-15T09:32:16.530880254Z,0.09600000083446503
2025-04-15T09:32:17.550837768Z,0.11205000430345535
2025-04-15T09:32:18.570791272Z,0.1080000028014183
2025-04-15T09:32:19.585621377Z,0.09300000220537186
2025-04-15T09:32:20.610834883Z,0.10305000841617584
2025-04-15T09:32:21.600846796Z,0.11205000430345535
2025-04-15T09:32:22.650682984Z,0.1080000028014183
