Timestamp,Temperature,Humidity
20250206222102,19.8,57.2
20250206222112,19.8,57.2
20250206222122,19.8,57.2
20250206222132,19.8,57.2
20250206222142,19.8,57.4
20250206222152,19.8,57.4
20250206222202,19.9,58.3
20250206222212,19.9,58.3
20250206222222,23.8,88.7
20250206222232,23.8,88.7
20250206222242,25.3,100.0
20250206222252,25.3,100.0
20250206222302,30.8,100.0
20250206222312,30.8,100.0
20250206222322,28.9,100.0
20250206222332,28.9,100.0
20250206222342,27.7,100.0
20250206222352,27.7,100.0
20250206222402,27.0,100.0
20250206222412,27.0,100.0
20250206222422,26.4,100.0
20250206222432,26.4,100.0
20250206222442,25.8,100.0
20250206222452,25.8,100.0
20250206222502,25.4,100.0
20250206222512,25.4,100.0
20250206222522,25.1,100.0
20250206222532,25.1,100.0
20250206222542,24.7,100.0
20250206222552,24.7,100.0
20250206222602,24.4,100.0
20250206222612,24.4,100.0
20250206222622,24.1,100.0
20250206222632,24.1,100.0
20250206222642,23.7,100.0
20250206222652,23.7,100.0
20250206222702,23.5,100.0
20250206222712,23.5,100.0
20250206222722,23.3,100.0
20250206222732,23.3,100.0
20250206222742,23.2,100.0
20250206222752,23.2,100.0
20250206222803,23.0,100.0
20250206222813,23.0,100.0
20250206222823,22.9,100.0
20250206222833,22.9,100.0
20250206222843,22.7,100.0
20250206222853,22.7,100.0
20250206222903,22.6,100.0
20250206222913,22.6,100.0
20250206222923,22.5,100.0
20250206222933,22.5,100.0
20250206222943,22.3,100.0
20250206222953,22.3,100.0
20250206223003,22.2,100.0
20250206223013,22.2,100.0
20250206223023,22.1,100.0
20250206223033,22.1,100.0
20250206223043,22.0,100.0
20250206223053,22.0,100.0
20250206223103,21.9,100.0
20250206223113,21.9,100.0
20250206223123,21.8,100.0
20250206223133,21.8,100.0
20250206223143,21.8,100.0
20250206223153,21.8,100.0
20250206223203,21.7,100.0
20250206223213,21.7,100.0
20250206223223,21.6,100.0
20250206223233,21.6,100.0
20250206223243,21.5,100.0
20250206223253,21.5,100.0
20250206223303,21.5,100.0
20250206223313,21.5,100.0
20250206223323,21.4,100.0
20250206223333,21.4,100.0
20250206224049,19.1,65.1
20250206224059,19.1,65.1
20250206224109,19.1,65.1
20250206224119,19.1,65.1
20250206224129,19.1,65.0
20250206224139,19.1,65.0
20250206224149,19.1,64.7
20250206224159,19.1,64.7
20250206224209,19.1,64.6
20250206224219,19.1,64.6
20250206224229,19.1,64.4
20250206224239,19.1,64.4
20250206224249,19.1,64.3
20250206224259,19.1,64.3
20250206224309,19.1,64.2
20250206224319,19.1,64.2
20250206224329,19.1,64.9
20250206224339,19.1,64.9
20250206224349,19.2,64.8
20250206224359,19.2,64.8
20250206224409,22.8,95.0
20250206224419,22.8,95.0
20250206224429,28.4,100.0
20250206224439,28.4,100.0
20250206224449,28.9,100.0
20250206224459,28.9,100.0
20250206224509,27.2,100.0
20250206224519,27.2,100.0
20250206224539,26.1,100.0
20250206224549,26.1,100.0
20250206224559,26.0,100.0
20250206224609,26.0,100.0
20250206224619,25.6,100.0
20250206224629,25.6,100.0
20250206224639,25.2,100.0
20250206224649,25.2,100.0
20250206224659,24.9,100.0
20250206224709,24.9,100.0
20250206224719,24.6,100.0
20250206224729,24.6,100.0
20250206224739,24.3,100.0
20250206224749,24.3,100.0
20250206224759,24.0,100.0
20250206224809,24.0,100.0
20250206224819,23.7,100.0
20250206224829,23.7,100.0
20250206224839,23.5,100.0
20250206224849,23.5,100.0
20250206224859,23.3,100.0
20250206224909,23.3,100.0
20250206224919,23.1,100.0
20250206224929,23.1,100.0
20250206224939,22.9,100.0
20250206224949,22.9,100.0
20250206224959,22.8,100.0
20250206225009,22.8,100.0
20250206225019,22.6,100.0
20250206225029,22.6,100.0
20250206225039,22.4,100.0
20250206225049,22.4,100.0
